Time [s],Byte
6.317469748000000,0x80
6.317470412000000,0x5A
6.317592562000000,0x80
6.317593226000000,0x5A
6.317598494000000,0x80
6.317599160000000,0x5A
6.317604394000000,0x80
6.317605060000000,0x5A
6.317610328000000,0x80
6.317610994000000,0x5A
6.317616296000000,0x80
6.317616960000000,0x5A
6.317622228000000,0x80
6.317622894000000,0x5A
6.317761692000000,0x80
6.317762358000000,0x5A
6.317767626000000,0x80
6.317768290000000,0x5A
6.317773626000000,0x80
6.317774290000000,0x5A
6.317779594000000,0x80
6.317780258000000,0x5A
6.317791494000000,0x80
6.317792158000000,0x5A
6.317809326000000,0x80
6.317809992000000,0x5A
6.317815294000000,0x80
6.317815958000000,0x5A
6.317931024000000,0x80
6.317931688000000,0x5A
6.317936990000000,0x80
6.317937656000000,0x5A
6.317942990000000,0x80
6.317943656000000,0x5A
6.317948992000000,0x80
6.317949656000000,0x5A
6.317954958000000,0x80
6.317955622000000,0x5A
6.318101206000000,0x80
6.318101870000000,0x5A
6.318107172000000,0x80
6.318107838000000,0x5A
6.318113106000000,0x80
6.318113770000000,0x5A
6.318119072000000,0x80
6.318119738000000,0x5A
6.318125006000000,0x80
6.318125670000000,0x5A
6.318136906000000,0x80
6.318137570000000,0x5A
6.318142872000000,0x80
6.318143538000000,0x5A
6.318148806000000,0x80
6.318149472000000,0x5A
6.318154774000000,0x80
6.318155438000000,0x5A
6.318160706000000,0x80
6.318161372000000,0x5A
6.318270538000000,0x80
6.318271202000000,0x5A
6.318276470000000,0x80
6.318277136000000,0x5A
6.318282370000000,0x80
6.318283036000000,0x5A
6.318288304000000,0x80
6.318288968000000,0x5A
6.318294270000000,0x80
6.318294936000000,0x5A
6.318347804000000,0x80
6.318348470000000,0x5A
6.318439868000000,0x80
6.318440532000000,0x5A
6.318445834000000,0x80
6.318446500000000,0x5A
6.318451768000000,0x80
6.318452434000000,0x5A
6.318457736000000,0x80
6.318458400000000,0x5A
6.318463668000000,0x80
6.318464334000000,0x5A
6.318469636000000,0x80
6.318470300000000,0x5A
6.318475568000000,0x80
6.318476234000000,0x5A
6.318592432000000,0x80
6.318593096000000,0x5A
6.318598416000000,0x80
6.318599080000000,0x5A
6.318604316000000,0x80
6.318604980000000,0x5A
6.318610216000000,0x80
6.318610880000000,0x5A
6.318616148000000,0x80
6.318616814000000,0x5A
6.318622116000000,0x80
6.318622780000000,0x5A
6.318651850000000,0x80
6.318652514000000,0x5A
6.318657816000000,0x80
6.318658480000000,0x5A
6.318761646000000,0x80
6.318762310000000,0x5A
6.318767612000000,0x80
6.318768278000000,0x5A
6.318773512000000,0x80
6.318774178000000,0x5A
6.318779446000000,0x80
6.318780112000000,0x5A
6.318785414000000,0x80
6.318786078000000,0x5A
6.318930978000000,0x80
6.318931642000000,0x5A
6.318936912000000,0x80
6.318937576000000,0x5A
6.318942910000000,0x80
6.318943576000000,0x5A
6.318948878000000,0x80
6.318949542000000,0x5A
6.318954812000000,0x80
6.318955476000000,0x5A
6.318960778000000,0x80
6.318961442000000,0x5A
6.319151832000000,0x80
6.319152496000000,0x5A
6.319157764000000,0x80
6.319158430000000,0x5A
6.319163732000000,0x80
6.319164396000000,0x5A
6.319169664000000,0x80
6.319170330000000,0x5A
6.319175632000000,0x80
6.319176296000000,0x5A
6.319181566000000,0x80
6.319182230000000,0x5A
6.319205366000000,0x80
6.319206030000000,0x5A
6.319211332000000,0x80
6.319211996000000,0x5A
6.319223232000000,0x80
6.319223896000000,0x5A
6.319321162000000,0x80
6.319321828000000,0x5A
6.319327130000000,0x80
6.319327794000000,0x5A
6.319333130000000,0x80
6.319333794000000,0x5A
6.319339096000000,0x80
6.319339760000000,0x5A
6.319345030000000,0x80
6.319345694000000,0x5A
6.319374780000000,0x80
6.319375444000000,0x5A
6.319380714000000,0x80
6.319381378000000,0x5A
6.319398580000000,0x80
6.319399246000000,0x5A
6.319592374000000,0x80
6.319593038000000,0x5A
6.319598308000000,0x80
6.319598972000000,0x5A
6.319604308000000,0x80
6.319604972000000,0x5A
6.319610274000000,0x80
6.319610940000000,0x5A
6.319622174000000,0x80
6.319622840000000,0x5A
6.319628108000000,0x80
6.319628772000000,0x5A
6.319657874000000,0x80
6.319658540000000,0x5A
6.319669774000000,0x80
6.319670440000000,0x5A
6.319761606000000,0x80
6.319762270000000,0x5A
6.319767606000000,0x80
6.319768270000000,0x5A
6.319773572000000,0x80
6.319774238000000,0x5A
6.319779506000000,0x80
6.319780170000000,0x5A
6.319797372000000,0x80
6.319798038000000,0x5A
6.319815206000000,0x80
6.319815872000000,0x5A
6.319930920000000,0x80
6.319931586000000,0x5A
6.319936854000000,0x80
6.319937518000000,0x5A
6.319942788000000,0x80
6.319943452000000,0x5A
6.319948754000000,0x80
6.319949420000000,0x5A
6.319954688000000,0x80
6.319955352000000,0x5A
6.320101120000000,0x80
6.320101784000000,0x5A
6.320107086000000,0x80
6.320107750000000,0x5A
6.320113052000000,0x80
6.320113718000000,0x5A
6.320118986000000,0x80
6.320119650000000,0x5A
6.320124952000000,0x80
6.320125618000000,0x5A
6.320136852000000,0x80
6.320137518000000,0x5A
6.320160654000000,0x80
6.320161318000000,0x5A
6.320270450000000,0x80
6.320271116000000,0x5A
6.320276450000000,0x80
6.320277116000000,0x5A
6.320282450000000,0x80
6.320283116000000,0x5A
6.320288418000000,0x80
6.320289082000000,0x5A
6.320312218000000,0x80
6.320312882000000,0x5A
6.320318152000000,0x80
6.320318816000000,0x5A
6.320330052000000,0x80
6.320330716000000,0x5A
6.320439766000000,0x80
6.320440430000000,0x5A
6.320445732000000,0x80
6.320446396000000,0x5A
6.320451698000000,0x80
6.320452364000000,0x5A
6.320457632000000,0x80
6.320458296000000,0x5A
6.320463600000000,0x80
6.320464264000000,0x5A
6.320469532000000,0x80
6.320470198000000,0x5A
6.320592330000000,0x80
6.320592994000000,0x5A
6.320598296000000,0x80
6.320598960000000,0x5A
6.320604196000000,0x80
6.320604860000000,0x5A
6.320610130000000,0x80
6.320610794000000,0x5A
6.320663696000000,0x80
6.320664362000000,0x5A
6.320761562000000,0x80
6.320762226000000,0x5A
6.320767494000000,0x80
6.320768160000000,0x5A
6.320773428000000,0x80
6.320774092000000,0x5A
6.320779394000000,0x80
6.320780060000000,0x5A
6.320785328000000,0x80
6.320785992000000,0x5A
6.320791294000000,0x80
6.320791960000000,0x5A
6.320803196000000,0x80
6.320803860000000,0x5A
6.320930876000000,0x80
6.320931540000000,0x5A
6.320936876000000,0x80
6.320937540000000,0x5A
6.320942844000000,0x80
6.320943508000000,0x5A
6.320954744000000,0x80
6.320955408000000,0x5A
6.320996376000000,0x80
6.320997042000000,0x5A
6.321008278000000,0x80
6.321008942000000,0x5A
6.321014244000000,0x80
6.321014908000000,0x5A
6.321101074000000,0x80
6.321101738000000,0x5A
6.321106974000000,0x80
6.321107640000000,0x5A
6.321112908000000,0x80
6.321113572000000,0x5A
6.321118874000000,0x80
6.321119540000000,0x5A
6.321130774000000,0x80
6.321131440000000,0x5A
6.321148608000000,0x80
6.321149274000000,0x5A
6.321270406000000,0x80
6.321271070000000,0x5A
6.321276372000000,0x80
6.321277038000000,0x5A
6.321282340000000,0x80
6.321283004000000,0x5A
6.321288274000000,0x80
6.321288938000000,0x5A
6.321294240000000,0x80
6.321294904000000,0x5A
6.321300174000000,0x80
6.321300838000000,0x5A
6.321306140000000,0x80
6.321306804000000,0x5A
6.321312074000000,0x80
6.321312738000000,0x5A
6.321318040000000,0x80
6.321318704000000,0x5A
6.321439722000000,0x80
6.321440386000000,0x5A
6.321445622000000,0x80
6.321446286000000,0x5A
6.321451554000000,0x80
6.321452220000000,0x5A
6.321457522000000,0x80
6.321458186000000,0x5A
6.321463454000000,0x80
6.321464120000000,0x5A
6.321469422000000,0x80
6.321470086000000,0x5A
6.321592284000000,0x80
6.321592950000000,0x5A
6.321598218000000,0x80
6.321598884000000,0x5A
6.321604218000000,0x80
6.321604884000000,0x5A
6.321610186000000,0x80
6.321610850000000,0x5A
6.321616118000000,0x80
6.321616784000000,0x5A
6.321639920000000,0x80
6.321640584000000,0x5A
6.321657786000000,0x80
6.321658450000000,0x5A
6.321761516000000,0x80
6.321762182000000,0x5A
6.321767516000000,0x80
6.321768182000000,0x5A
6.321773484000000,0x80
6.321774148000000,0x5A
6.321930832000000,0x80
6.321931496000000,0x5A
6.321936764000000,0x80
6.321937430000000,0x5A
6.321942698000000,0x80
6.321943362000000,0x5A
6.321948664000000,0x80
6.321949330000000,0x5A
6.321954598000000,0x80
6.321955262000000,0x5A
6.321960564000000,0x80
6.321961230000000,0x5A
6.321966498000000,0x80
6.321967162000000,0x5A
6.321984364000000,0x80
6.321985030000000,0x5A
6.322101030000000,0x80
6.322101694000000,0x5A
6.322106996000000,0x80
6.322107660000000,0x5A
6.322112962000000,0x80
6.322113628000000,0x5A
6.322118896000000,0x80
6.322119562000000,0x5A
6.322270360000000,0x80
6.322271026000000,0x5A
6.322276360000000,0x80
6.322277026000000,0x5A
6.322282360000000,0x80
6.322283026000000,0x5A
6.322288328000000,0x80
6.322288992000000,0x5A
6.322294260000000,0x80
6.322294926000000,0x5A
6.322300228000000,0x80
6.322300892000000,0x5A
6.322439676000000,0x80
6.322440340000000,0x5A
6.322445642000000,0x80
6.322446308000000,0x5A
6.322451610000000,0x80
6.322452274000000,0x5A
6.322457542000000,0x80
6.322458208000000,0x5A
6.322463510000000,0x80
6.322464174000000,0x5A
6.322469442000000,0x80
6.322470108000000,0x5A
6.322475410000000,0x80
6.322476074000000,0x5A
6.322592240000000,0x80
6.322592904000000,0x5A
6.322598206000000,0x80
6.322598870000000,0x5A
6.322604106000000,0x80
6.322604770000000,0x5A
6.322610040000000,0x80
6.322610704000000,0x5A
6.322616006000000,0x80
6.322616672000000,0x5A
6.322621940000000,0x80
6.322622604000000,0x5A
6.322657640000000,0x80
6.322658304000000,0x5A
6.322761472000000,0x80
6.322762136000000,0x5A
6.322767404000000,0x80
6.322768070000000,0x5A
6.322773338000000,0x80
6.322774002000000,0x5A
6.322779304000000,0x80
6.322779970000000,0x5A
6.322785238000000,0x80
6.322785902000000,0x5A
6.322930786000000,0x80
6.322931450000000,0x5A
6.322936786000000,0x80
6.322937450000000,0x5A
6.322942752000000,0x80
6.322943418000000,0x5A
6.322954652000000,0x80
6.322955318000000,0x5A
6.322966552000000,0x80
6.322967218000000,0x5A
6.322996286000000,0x80
6.322996952000000,0x5A
6.323100984000000,0x80
6.323101648000000,0x5A
6.323106884000000,0x80
6.323107548000000,0x5A
6.323112818000000,0x80
